Age,Gender,Education Level,Job Title,Years of Experience,Salary
40,Female,Bachelor's,Fullstack,15,65000
48,Male,PhD,Backend,20,170000
29,Female,Bachelor's,Backend,3,45000
35,Male,Master's,Backend,10,120000
42,Female,Bachelor's,Backend,17,100000
53,Male,Master's,Frontend,25,180000
33,Female,Bachelor's,Frontend,5,50000
38,Male,Bachelor's,Backend,11,80000
44,Female,PhD,Frontend,16,140000
26,Male,Bachelor's,Backend,2,40000
37,Female,Master's,Fullstack,9,95000
45,Male,Bachelor's,Fullstack,18,110000
32,Female,Bachelor's,Fullstack,4,50000
34,Male,Master's,Frontend,8,105000
50,Female,Master's,Backend,21,160000
29,Male,Bachelor's,Frontend,3,45000
40,Female,Master's,Fullstack,12,100000
47,Male,PhD,Fullstack,22,160000
27,Male,Bachelor's,Backend,1,35000
39,Female,Bachelor's,Frontend,10,55000
46,Male,Master's,Backend,19,140000
30,Female,Bachelor's,Fullstack,4,50000
36,Male,Bachelor's,Frontend,7,60000
43,Female,Master's,Frontend,14,120000
28,Male,Bachelor's,Fullstack,2,40000
41,Female,Master's,Fullstack,13,110000
33,Male,Bachelor's,Fullstack,5,50000
47,Male,Bachelor's,Frontend,20,135000
25,Female,Master's,Fullstack,1.5,40000
34,Male,Bachelor's,Backend,8,90000
42,Female,PhD,Backend,16,150000
31,Male,Bachelor's,Fullstack,4,60000
38,Female,Bachelor's,Frontend,10,80000
45,Male,Master's,Frontend,19,175000
29,Female,Bachelor's,Frontend,3,45000
36,Male,Master's,Frontend,11,120000
43,Female,PhD,Fullstack,18,140000
26,Male,Bachelor's,Frontend,2,35000
37,Female,Master's,Fullstack,9,95000
44,Male,Bachelor's,Fullstack,14,110000
32,Female,Bachelor's,Fullstack,5,50000
33,Male,Master's,Backend,7,115000
51,Female,PhD,Fullstack,23,185000
28,Male,Bachelor's,Backend,2,40000
39,Female,Bachelor's,Frontend,12,90000
48,Male,Master's,Backend,21,175000
30,Female,Bachelor's,Fullstack,3,45000
35,Male,Bachelor's,Backend,7,80000
41,Female,Master's,Backend,13,120000
27,Male,Bachelor's,Fullstack,1.5,35000
40,Female,Bachelor's,Backend,14,110000
46,Male,PhD,Backend,18,150000
31,Female,Bachelor's,Backend,4,50000
34,Male,Master's,Backend,9,105000
50,Female,Master's,Frontend,20,180000
29,Male,Bachelor's,Backend,2,40000
,,,Frontend,,
43,Male,Bachelor's,Fullstack,16,140000
26,Female,Master's,Fullstack,1.5,45000
35,Male,Bachelor's,Fullstack,7,85000
42,Female,PhD,Fullstack,18,140000
31,Male,Bachelor's,Backend,4,50000
38,Female,Bachelor's,Frontend,10,80000
46,Male,Master's,Frontend,20,170000
29,Female,Bachelor's,Backend,2,40000
37,Male,Master's,Fullstack,9,105000
44,Female,PhD,Fullstack,15,145000
27,Male,Bachelor's,Frontend,2,40000
36,Female,Bachelor's,Frontend,8,85000
43,Male,Bachelor's,Fullstack,14,130000
33,Female,Master's,Backend,6,95000
34,Male,Bachelor's,Fullstack,9,100000
50,Female,PhD,Fullstack,22,180000
28,Male,Bachelor's,Fullstack,1.5,35000
39,Female,Bachelor's,Frontend,12,95000
47,Male,Master's,Backend,19,170000
30,Female,Bachelor's,Backend,3,45000
34,Male,Bachelor's,Fullstack,7,95000
40,Female,Master's,Fullstack,13,120000
28,Male,Bachelor's,Frontend,2,40000
41,Female,Bachelor's,Fullstack,11,90000
45,Male,PhD,Backend,17,155000
32,Female,Bachelor's,Frontend,5,55000
35,Male,Master's,Fullstack,9,110000
49,Female,Master's,Backend,21,180000
30,Male,Bachelor's,Backend,3,45000
44,Male,Bachelor's,Fullstack,16,130000
27,Female,Master's,Fullstack,1.5,45000
36,Male,Bachelor's,Frontend,7,90000
41,Female,PhD,Backend,17,160000
31,Male,Bachelor's,Backend,4,50000
39,Female,Bachelor's,Fullstack,10,120000
47,Male,Master's,Frontend,20,170000
30,Female,Bachelor's,Fullstack,2,40000
38,Male,Master's,Fullstack,9,110000
45,Female,PhD,Backend,15,150000
28,Male,Bachelor's,Fullstack,2,40000
35,Female,Bachelor's,Fullstack,8,85000
44,Male,Bachelor's,Fullstack,14,130000
34,Female,Master's,Fullstack,6,100000
35,Male,Bachelor's,Fullstack,9,95000
50,Female,PhD,Backend,22,180000
29,Male,Bachelor's,Fullstack,1.5,35000
40,Female,Bachelor's,Backend,12,100000
48,Male,Master's,Fullstack,19,170000
31,Female,Bachelor's,Backend,3,45000
33,Male,Bachelor's,Fullstack,7,100000
42,Female,Master's,Backend,13,140000
28,Male,Bachelor's,Frontend,2,40000
40,Female,Bachelor's,Backend,11,105000
46,Male,PhD,Backend,18,160000
33,Female,Bachelor's,Frontend,5,70000
37,Male,Master's,Frontend,9,120000
51,Female,Master's,Frontend,21,190000
30,Male,Bachelor's,Fullstack,3,45000
43,Male,Bachelor's,Fullstack,15,120000
27,Female,Master's,Frontend,1.5,50000
35,Male,Bachelor's,Fullstack,8,85000
42,Female,PhD,Fullstack,13,140000
32,Male,Bachelor's,Fullstack,3,45000
37,Female,Bachelor's,Fullstack,9,100000
45,Male,Master's,Backend,16,140000
33,Female,Bachelor's,Backend,5,70000
39,Male,Bachelor's,Fullstack,10,120000
44,Female,PhD,Frontend,18,160000
29,Male,Bachelor's,Backend,1.5,40000
38,Female,Bachelor's,Fullstack,10,120000
46,Male,PhD,Backend,19,150000
34,Female,Bachelor's,Backend,6,70000
36,Male,Bachelor's,Backend,8,95000
49,Female,Master's,Backend,21,180000
31,Male,Bachelor's,Backend,3,50000
41,Female,Bachelor's,Backend,11,95000
47,Male,Master's,Fullstack,20,170000
30,Female,Bachelor's,Fullstack,2,40000
38,Male,Master's,Backend,9,110000
45,Female,PhD,Backend,15,150000
28,Male,Bachelor's,Fullstack,2,40000
35,Female,Bachelor's,Frontend,8,85000
44,Male,Bachelor's,Backend,14,130000
34,Female,Master's,Backend,6,100000
35,Male,Bachelor's,Backend,9,95000
50,Female,PhD,Fullstack,22,180000
29,Male,Bachelor's,Frontend,1.5,350
,,,Frontend,,
37,Female,Bachelor's,Frontend,10,120000
46,Male,PhD,Backend,18,160000
31,Female,Bachelor's,Fullstack,3,50000
42,Male,Bachelor's,Fullstack,12,110000
29,Female,Bachelor's,Backend,1.5,40000
36,Male,Bachelor's,Frontend,8,95000
44,Female,Master's,Frontend,15,140000
33,Male,Bachelor's,Frontend,4,60000
39,Female,Bachelor's,Fullstack,9,110000
45,Male,PhD,Backend,16,150000
32,Female,Bachelor's,Fullstack,4,60000
37,Male,Bachelor's,Fullstack,8,90000
47,Female,Master's,Fullstack,20,180000
30,Male,Bachelor's,Backend,2,40000
38,Female,Bachelor's,Fullstack,9,120000
46,Male,PhD,Frontend,17,160000
34,Female,Bachelor's,Frontend,5,70000
36,Male,Bachelor's,Fullstack,8,95000
49,Female,Master's,Backend,21,180000
31,Male,Bachelor's,Backend,3,50000
41,Female,Bachelor's,Frontend,11,95000
47,Male,Master's,Frontend,19,170000
29,Female,Bachelor's,Frontend,1.5,35000
35,Male,Bachelor's,Fullstack,9,100000
44,Female,PhD,Frontend,15,150000
33,Male,Bachelor's,Fullstack,4,60000
35,Female,Bachelor's,Backend,8,85000
44,Male,Bachelor's,Frontend,13,130000
32,Male,Bachelor's,Backend,4,65000
38,Female,Bachelor's,Frontend,10,110000
49,Male,PhD,Fullstack,21,180000
29,Female,Bachelor's,Backend,2,40000
35,Male,Bachelor's,Frontend,7,90000
45,Female,Master's,Backend,14,140000
33,Male,Bachelor's,Frontend,4,60000
40,Female,Bachelor's,Fullstack,12,130000
44,Male,PhD,Frontend,16,160000
30,Female,Bachelor's,Backend,2,40000
37,Male,Bachelor's,Fullstack,9,100000
48,Female,Master's,Frontend,20,180000
31,Male,Bachelor's,Frontend,3,55000
38,Female,Bachelor's,Backend,9,120000
45,Male,PhD,Fullstack,16,150000
33,Female,Bachelor's,Fullstack,5,70000
36,Male,Bachelor's,Fullstack,8,95000
49,Female,Master's,Fullstack,21,180000
31,Male,Bachelor's,Fullstack,3,50000
42,Female,Bachelor's,Frontend,12,120000
47,Male,Master's,Frontend,19,170000
29,Female,Bachelor's,Fullstack,1.5,35000
35,Male,Bachelor's,Frontend,9,100000
44,Female,PhD,Fullstack,15,150000
33,Male,Bachelor's,Frontend,4,60000
35,Female,Bachelor's,Fullstack,8,85000
44,Male,Bachelor's,Frontend,13,130000
34,Female,Master's,Backend,6,80000
36,Male,Bachelor's,Frontend,8,95000
30,Female,Bachelor's,Backend,2,40000
37,Male,Bachelor's,Frontend,10,120000
45,Female,Master's,Frontend,16,160000
32,Male,Bachelor's,Frontend,4,65000
39,Female,Bachelor's,Fullstack,12,130000
47,Male,PhD,Frontend,20,180000
29,Female,Bachelor's,Fullstack,2,40000
36,Male,Bachelor's,Fullstack,9,100000
43,Female,PhD,Backend,15,150000
32,Male,Bachelor's,Backend,3,55000
38,Female,Bachelor's,Frontend,10,110000
48,Male,Master's,Backend,21,180000
31,Female,Bachelor's,Backend,3,50000
40,Male,Bachelor's,Backend,12,130000
45,Female,PhD,Fullstack,16,160000
33,Male,Bachelor's,Fullstack,4,60000
36,Female,Bachelor's,Backend,8,95000
47,Male,Master's,Fullstack,19,170000
29,Female,Bachelor's,Backend,2,40000
34,Male,Bachelor's,Backend,7,90000
44,Female,PhD,Fullstack,15,150000
33,Male,Bachelor's,Fullstack,5,70000
35,Female,Bachelor's,Fullstack,8,90000
43,Male,Master's,Frontend,18,170000
31,Female,Bachelor's,Backend,3,50000
41,Male,Bachelor's,Frontend,14,150000
44,Female,PhD,Fullstack,16,160000
33,Male,Bachelor's,Frontend,4,60000
35,Female,Bachelor's,Fullstack,8,85000
45,Male,Master's,Backend,19,180000
28,Female,Bachelor's,Frontend,1,35000
36,Male,Bachelor's,Frontend,8,110000
44,Female,PhD,Fullstack,16,160000
31,Male,Bachelor's,Backend,3,55000
38,Female,Bachelor's,Frontend,10,110000
48,Male,Master's,Fullstack,21,180000
31,Female,Bachelor's,Backend,3,50000
40,Male,Bachelor's,Frontend,12,130000
45,Female,PhD,Frontend,16,160000
33,Male,Bachelor's,Backend,4,60000
36,Female,Bachelor's,Frontend,8,95000
47,Male,Master's,Fullstack,19,170000
29,Female,Bachelor's,Backend,2,40000
34,Male,Bachelor's,Fullstack,7,90000
44,Female,PhD,Backend,15,150000
33,Male,Bachelor's,Frontend,5,70000
35,Female,Bachelor's,Fullstack,8,90000
43,Male,Master's,Backend,18,170000
31,Female,Bachelor's,Frontend,3,50000
41,Male,Bachelor's,Backend,14,150000
44,Female,PhD,Fullstack,16,160000
33,Male,Bachelor's,Fullstack,4,60000
35,Female,Bachelor's,Fullstack,8,85000
43,Male,Master's,Frontend,19,170000
29,Female,Bachelor's,Backend,2,40000
34,Male,Bachelor's,Backend,7,90000
44,Female,PhD,Fullstack,15,150000
